epoch;acc;loss
0;0.7835928108704262;0.49497960026979931
1;0.803940540070332;0.40747543505957956
0;0.83114903100818149;0.37826866095285289
1;0.90292315359259878;0.23668085562061586
0;0.82619403642529765;0.38693449431304255
1;0.89861318789640743;0.24334212000783434
0;0.78359281084596011;0.53993290479444567
1;0.78359281087566901;0.52232848486471262
0;0.78359281084770771;0.5387421282044389
1;0.78359281086518351;0.52148034587053793
0;0.79597252693430842;0.47488190650296735
1;0.8138305224435386;0.41738866926406143
0;0.81450151664989145;0.43604042941450605
1;0.83465144741165109;0.37720634617304444
0;0.80361482419565777;0.44993965106710898
